sku,manufacturer_sku,ean,brand,product_type,title
"LAG-LC100CLRD","LC100CLRD","81287046950","Colibri","","Colibri LC100CLRD Leather Holster Large Wallet, Red"
"LAG-LI221C2","LI221C2","5037258038504","Colibri","","Colibri Lighter Julius Black + Chrome"
"FI-CORAVIN-801060","801060","858976004764","Coravin","","Coravin Faster Pour Needle"
"IT67018","DF-AF1312CC1","","Crystal Air","","Crystal Air DF-AF1312CC1 Air Cooler Fan 23lt"
"IT66901","FP8U","3030058000805","Cuisinart","","Cuisinart FP8U Easy Prep Pro Food Processor – 1.9L Capacity"
"IT66909","DGB2U","3030058100022","Cuisinart","","Cuisinart DGB2U Grind&Brew Coffee"
"IT66913","SG6SU","3030058400061","Cuisinart","","Cuisinart SG6SU Seasoning Mill"
"IT71658","DBM8V2U","3030050194401","Cuisinart","","Cuisinart DBM8V2U Burr Mill, Black"
"IT71659","DCG20BKNU","3030050196344","Cuisinart","","Cuisinart DCG20BKNU Coffee Grinder, Black"
"ATP-ECODECALK-500ML","","","Delonghi","","Delonghi EcoDecalk Descale Liquid 500ml"
"ATP-MONDO-CA6903","CA6903","4260418590173","Delonghi","","Mondo CA6903 Water Filter for Delonghi Espresso & Bean to Cup Machines"
"IT25271","DLSC306","","Delonghi","","Delonghi DLSC306 Coffee Care Kit for Fully Automatic & Espresso Machines"
"IT34190","ICM15210.1","8004399327139","Delonghi","","Delonghi ICM15210.1 Filter Coffee Maker, Black"
"IT41812","EC685.BK","8004399331181","Delonghi","","Delonghi EC685.BK Dedica Pump Espresso Coffee Maker, Black"
"IT42307","HFX30C18.IW","8004399143319","Delonghi","","Delonghi HFX30C18.IW Electric Fan Heater"
"IT42517","DLSC054","8004399332300","Delonghi","","Delonghi DLSC054 Stainless Steel Coffee Tamper, Silver"
"IT42774","AC75","8004399370166","Delonghi","","Delonghi AC75 Air Purifier, White"
"IT42853","DLSC302","8004399329973","Delonghi","","Delonghi DLSC302 Fancy Collection of Mixed Espresso Beverage Glasses, 6-piece Set"
"IT43517","BCO411.B","8004399332416","Delonghi","","Delonghi BCO411.B Combi Espresso & Filter Coffee Maker, Black"
"IT44430","DLSC014","","Delonghi","","Delonghi DLSC014 Milk Jug for Delonghi ECAM65xx"
"IT45600","DNS80","8004399481039","Delonghi","","Delonghi DNS80 Dehumidifier with Ionizer & Zeolite 20 litres"
"IT48352","DDSX225","8004399481114","Delonghi","","Delonghi DDSX225 Tasciugo AriaDry Multi Dehumidifier"
"IT52423","DLSC551","8004399333796","Delonghi","","Delonghi DLSC551 Descaling Balls"
"IT52510","DLSC058","8004399333291","Delonghi","","Delonghi DLSC058 Coffee Tamper"
"IT55102","EC785.GY","8004399015784","Delonghi","","Delonghi EC 785.GY Dedica Espresso Coffee Maker"
"IT62660","ECAM450.86.T","8004399026186","Delonghi","","Delonghi ECAM 450.86.T Eletta Explore Cold Brew Coffee Machine, Black"
"IT64566","DEX210SF","8004399029255","Delonghi","","Delonghi DEX210SF Tasciugo AriaDry 10lt Portable Home Dehumidifier with 3-Action Filtration System"
"IT64669","IT64669","8004399021372","Delonghi","","Delonghi Magnifica Evo ECAM290.31.SB Fully Automatic Espresso Maker"
"IT68405","DEXD216RF","8004399027770","Delonghi","","Delonghi DEXD216RF Tasciugo AriaDry 16L Multi Dehumidifier with Laundry Mode, White"
"IT69480","ECAM310.80.SB","8004399029149","Delonghi","","De’Longhi Magnifica Evo Next ECAM310.80.SB"
"IT69482","ECAM320.70.TB","8004399028388","Delonghi","","Delonghi ECAM320.70.TB Magnifica Plus Titanium, Black"
